lambda	n	k
245.202	1.168773	1.331022
246.793	1.176486	1.342173
248.384	1.184909	1.35239
249.976	1.195191	1.360441
251.567	1.208012	1.365649
253.159	1.222298	1.369346
254.751	1.236561	1.373296
256.342	1.250863	1.377493
257.934	1.266081	1.380957
259.526	1.280422	1.385425
261.118	1.295747	1.388624
262.71	1.314122	1.388161
264.302	1.332088	1.387543
265.894	1.349186	1.387035
267.486	1.365779	1.386098
269.078	1.381617	1.384834
270.671	1.397479	1.382323
272.263	1.414073	1.377756
273.856	1.430565	1.371857
275.448	1.44665	1.364803
277.041	1.46239	1.356414
278.633	1.477705	1.34665
280.226	1.493032	1.335003
281.819	1.507621	1.322091
283.412	1.52152	1.308001
285.004	1.534962	1.292706
286.597	1.548117	1.276244
288.19	1.56109	1.258708
289.783	1.573846	1.240198
291.377	1.585484	1.22117
292.97	1.597032	1.200512
294.563	1.609048	1.177539
296.156	1.622041	1.15158
297.75	1.638017	1.119556
299.343	1.652347	1.081758
300.936	1.664638	1.035518
302.53	1.674244	0.981291
304.124	1.676124	0.924319
305.717	1.670761	0.862526
307.311	1.656782	0.794018
308.905	1.632069	0.729033
310.498	1.60169	0.666868
312.092	1.564974	0.603757
313.686	1.521603	0.541588
315.28	1.47378	0.478805
316.874	1.41648	0.407797
318.468	1.328991	0.327906
320.062	1.204332	0.25423
321.656	1.058416	0.205534
323.25	0.908725	0.186685
324.844	0.76942	0.194293
326.439	0.640105	0.225011
328.033	0.508378	0.278807
329.627	0.381485	0.366136
331.222	0.287389	0.479734
332.816	0.230957	0.590405
334.411	0.19705	0.685981
336.005	0.174356	0.770536
337.6	0.15749	0.85014
339.194	0.144728	0.924251
340.789	0.136119	0.984005
342.384	0.129949	1.034139
343.978	0.124166	1.087744
345.573	0.119236	1.140053
347.168	0.11566	1.184273
348.763	0.112847	1.224136
350.358	0.110334	1.263474
351.952	0.108068	1.302222
353.547	0.106046	1.339786
355.142	0.10426	1.37564
356.737	0.102673	1.409608
358.332	0.10124	1.441979
359.928	0.099932	1.473051
361.523	0.098726	1.503093
363.118	0.097604	1.532351
364.713	0.096552	1.56105
366.308	0.095557	1.589396
367.903	0.094617	1.617465
369.499	0.093738	1.645204
371.094	0.092924	1.672551
372.689	0.092181	1.699454
374.285	0.091512	1.725859
375.88	0.090922	1.751718
377.476	0.090413	1.776983
379.071	0.08999	1.801611
380.667	0.089654	1.825569
382.262	0.089405	1.84889
383.858	0.089242	1.871626
385.453	0.089159	1.893827
387.049	0.089149	1.915539
388.644	0.089206	1.936805
390.24	0.089324	1.957667
391.836	0.089498	1.978165
393.431	0.089722	1.998337
395.027	0.089992	2.018219
396.623	0.090303	2.037845
398.219	0.090652	2.057249
399.814	0.091033	2.076463
401.41	0.091443	2.095516
403.006	0.091879	2.11444
404.602	0.092337	2.133262
406.198	0.092814	2.152009
407.793	0.093306	2.170709
409.389	0.09381	2.189387
410.985	0.094324	2.208056
412.581	0.094848	2.226702
414.177	0.095378	2.245305
415.773	0.095916	2.263849
417.369	0.09646	2.282315
418.965	0.097008	2.300687
420.561	0.09756	2.318949
422.157	0.098116	2.337084
423.753	0.098674	2.355078
425.349	0.099233	2.372916
426.945	0.099793	2.390584
428.541	0.100354	2.408066
430.137	0.100913	2.42535
431.733	0.10147	2.442428
433.329	0.102027	2.459308
434.925	0.102581	2.475997
436.521	0.103134	2.492505
438.117	0.103684	2.50884
439.713	0.104232	2.525011
441.31	0.104778	2.541025
442.906	0.105321	2.55689
444.502	0.105862	2.572614
446.098	0.1064	2.588204
447.694	0.106935	2.603666
449.29	0.107467	2.619009
450.886	0.107995	2.634238
452.482	0.108521	2.649361
454.079	0.109043	2.664383
455.675	0.109561	2.679311
457.271	0.110076	2.694151
458.867	0.110588	2.708909
460.463	0.111095	2.72359
462.059	0.111599	2.738202
463.655	0.112098	2.752748
465.251	0.112594	2.767234
466.848	0.113085	2.781667
468.444	0.113572	2.79605
470.04	0.114055	2.81039
471.636	0.114533	2.824689
473.232	0.115008	2.838948
474.828	0.115478	2.853166
476.424	0.115943	2.867346
478.02	0.116405	2.881487
479.616	0.116863	2.895589
481.212	0.117318	2.909654
482.809	0.117768	2.923682
484.405	0.118215	2.937672
486.001	0.118658	2.951626
487.597	0.119098	2.965543
489.193	0.119534	2.979424
490.789	0.119967	2.993271
492.385	0.120397	3.007081
493.981	0.120824	3.020858
495.577	0.121247	3.034599
497.173	0.121668	3.048307
498.769	0.122085	3.061981
500.365	0.1225	3.075621
501.96	0.122911	3.089229
503.556	0.12332	3.102804
505.152	0.123727	3.116346
506.748	0.12413	3.129856
508.344	0.124531	3.143334
509.94	0.12493	3.156781
511.536	0.125326	3.170197
513.131	0.125719	3.183582
514.727	0.126111	3.196935
516.323	0.1265	3.210259
517.919	0.126886	3.223552
519.515	0.127271	3.236815
521.11	0.127654	3.250049
522.706	0.128034	3.263253
524.302	0.128412	3.276429
525.897	0.128789	3.289575
527.493	0.129163	3.302692
529.088	0.129536	3.315781
530.684	0.129907	3.328842
532.279	0.130276	3.341875
533.875	0.130643	3.35488
535.47	0.131008	3.367858
537.066	0.131372	3.38081
538.661	0.131735	3.393735
540.257	0.132095	3.406635
541.852	0.132454	3.41951
543.447	0.132812	3.43236
545.043	0.133168	3.445186
546.638	0.133522	3.457987
548.233	0.133876	3.470766
549.829	0.134227	3.483521
551.424	0.134578	3.496253
553.019	0.134927	3.508963
554.614	0.135274	3.521651
556.209	0.135621	3.534319
557.804	0.135966	3.546964
559.399	0.13631	3.559589
560.994	0.136653	3.572194
562.589	0.136994	3.584778
564.184	0.137334	3.597344
565.779	0.137674	3.609889
567.374	0.138012	3.622416
568.969	0.138349	3.634924
570.563	0.138685	3.647415
572.158	0.13902	3.659886
573.753	0.139354	3.672341
575.347	0.139688	3.684778
576.942	0.14002	3.697198
578.536	0.140351	3.709602
580.131	0.140682	3.721989
581.725	0.141011	3.73436
583.32	0.14134	3.746716
584.914	0.141668	3.759056
586.509	0.141995	3.771381
588.103	0.142321	3.783691
589.697	0.142647	3.795987
591.291	0.142972	3.808268
592.886	0.143296	3.820536
594.48	0.14362	3.832789
596.074	0.143942	3.845029
597.668	0.144265	3.857257
599.262	0.144586	3.869471
600.856	0.144907	3.881672
602.449	0.145228	3.893861
604.043	0.145548	3.906038
605.637	0.145867	3.918203
607.231	0.146186	3.930356
608.824	0.146504	3.942498
610.418	0.146822	3.954628
612.012	0.14714	3.966747
613.605	0.147456	3.978856
615.199	0.147772	3.990954
616.792	0.148088	4.003042
618.385	0.148403	4.01512
619.979	0.148717	4.027188
621.572	0.149031	4.039246
623.165	0.149344	4.051294
624.758	0.149657	4.063334
626.351	0.149969	4.075364
627.944	0.15028	4.087386
629.537	0.150591	4.099398
631.13	0.1509	4.111402
632.723	0.15121	4.123399
634.316	0.151518	4.135387
635.908	0.151826	4.147367
637.501	0.152133	4.15934
639.093	0.152439	4.171304
640.686	0.152745	4.183262
642.278	0.15305	4.195212
643.871	0.153354	4.207156
645.463	0.153657	4.219093
647.055	0.15396	4.231023
648.648	0.154262	4.242946
650.24	0.154563	4.254864
651.832	0.154863	4.266775
653.424	0.155162	4.278681
655.016	0.155461	4.29058
656.608	0.155759	4.302474
658.199	0.156056	4.314363
659.791	0.156352	4.326246
661.383	0.156647	4.338124
662.974	0.156941	4.349998
664.566	0.157235	4.361866
666.157	0.157527	4.37373
667.748	0.157819	4.385589
669.34	0.15811	4.397444
670.931	0.1584	4.409294
672.522	0.158689	4.421141
674.113	0.158977	4.432983
675.704	0.159265	4.444822
677.295	0.159551	4.456656
678.886	0.159836	4.468487
680.477	0.160121	4.480313
682.067	0.160404	4.492136
683.658	0.160687	4.503955
685.248	0.160969	4.51577
686.839	0.16125	4.527582
688.429	0.16153	4.53939
690.02	0.161809	4.551195
691.61	0.162087	4.562996
693.2	0.162364	4.574794
694.79	0.16264	4.586588
696.38	0.162915	4.598379
697.97	0.163189	4.610166
699.56	0.163462	4.621951
701.149	0.163734	4.633732
702.739	0.164006	4.645509
704.328	0.164276	4.657284
705.918	0.164545	4.669056
707.507	0.164814	4.680824
709.096	0.165081	4.69259
710.686	0.165348	4.704353
712.275	0.165613	4.716113
713.864	0.165877	4.727869
715.453	0.166141	4.739623
717.042	0.166403	4.751375
718.63	0.166665	4.763123
720.219	0.166925	4.774869
721.807	0.167185	4.786612
723.396	0.167443	4.798352
